objectPath,objectName,objectType,id
/Explore/CPD-Dayforce Integration,sc-api-dayforce,AI_SERVICE_CONNECTOR,kvKgEPCM9y7i86SJRF8qEK
/Explore/CPD-Dayforce Integration,p_dayforce_cpd_integration,PROCESS,9YzFkZEq4V5kJlHTF4U0gK
/Explore/CPD-Dayforce Integration,sc-api-cpd,AI_SERVICE_CONNECTOR,aDMzhpLojjoke0pnhn1H4E
/Explore/CPD-Dayforce Integration,p_GetChangedEmployees,PROCESS,3oBo3euvAbRVfbijBuFPeO
/Explore/CPD-Dayforce Integration,GetEmployeeDetail_Process,PROCESS,KPffEx7EOwfjp7pn7kzZ2M
/Explore/CPD-Dayforce Integration,SearchPerson_Process,PROCESS,DB1JRZkPV3HvqKV1vfjqgb
/Explore/CPD-Dayforce Integration,CreatePersonAndContract_Process,PROCESS,ugYTHbESlUs3xY4PcfoFaW
/Explore/CPD-Dayforce Integration,UpdatePersonAndContract_Process,PROCESS,TUaU8PTn1SEcDVyUTRKb6U
/Explore/CPD-Dayforce Integration,WriteVinciId_Process,PROCESS,zBI0ZwpxPB1sKMv6wHgpd1
/Explore/CPD-Dayforce Integration,AddPhoneNumber_Process,PROCESS,AwxVtpAsbduNEHRbWUeFYb
/Explore/CPD-Dayforce Integration,UpdatePhoneNumber_Process,PROCESS,2MQBdKskt65bUvaVMnxm9g
/Explore/CPD-Dayforce Integration,DeletePhoneNumber_Process,PROCESS,MrEEevrr6RSALfwqq4ZHmt
/Explore/CPD-Dayforce Integration,ErrorAlert_Process,PROCESS,xpZXrmJaYOBu7TJpkrH1WV
/Explore/CPD-Dayforce Integration,ProcessOneEmployee_Process,PROCESS,VYIrQ7qaaXeojtBdb9dXHt
/Explore/CPD-Dayforce Integration,ac-sc-api-dayforce,AI_CONNECTION,jEzhmqLAzmBhdgzZWel1I2
/Explore/CPD-Dayforce Integration,ac-sc-api-cpd,AI_CONNECTION,0zkkeyRXHvpjfEh4Tgq5sM
/Explore,CPD-Dayforce Integration,Project,6KXDYfx2SWekF2qeCjXiCr
